what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1331415824711
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1331415824711
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1331415824711
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1331415824711
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1331415824805
os,sysinfo,,,"win32",1331415824821
arch,sysinfo,,,"x86_64",1331415824821
ws,sysinfo,,,"win32",1331415824821
locale,sysinfo,,,"en_US",1331415824821
processors,sysinfo,,,"8",1331415824821
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331415824821
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1331415824821
java.specification.name,sysinfo,,,"Java Platform API Specification",1331415824821
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331415824821
java.specification.version,sysinfo,,,"1.6",1331415824821
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331415824821
java.version,sysinfo,,,"1.6.0_30",1331415824821
java.vm.info,sysinfo,,,"mixed mode",1331415824821
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331415824821
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331415824821
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331415824821
java.vm.specification.version,sysinfo,,,"1.0",1331415824821
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331415824821
java.vm.version,sysinfo,,,"20.5-b03",1331415824821
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1331415824961
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1331415825816
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331415826415
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331415826433
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1331415826598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331415826599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420810645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420814909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420853432
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331420854038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420857441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420922030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1331420922038
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1331420922802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420926214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420937108
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1331420937924
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1331420937960
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1331420937972
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1331420938089
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1331420938162
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1331420938164
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1331420938208
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1331420938304
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1331420938304
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1331420938314
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1331420938341
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1331420938412
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1331420938515
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1331420938521
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1331420938700
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1331420939024
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1331420939034
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1331420939084
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1331420939085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420940322
started,bundle,org.eclipse.wst.html.core,1.1.501.v201109080146,"org.eclipse.wst.html.core",1331420941044
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1331420941144
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1331420941160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420946406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1331420946411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1331420946411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420958973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420997814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331420999539
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1331421010758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331421010921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331421018759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331421021738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331421022790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331421146620
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331421146754
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331421146824
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331421146845
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331421146856
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331421147655
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331421147677
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331421147730
