what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486981807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486982389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486982889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486982921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486982955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486982987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486983020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486983053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331486983086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331486985712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331487048222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487066711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487079568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487081780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487098439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331487103237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487105220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487107465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331487109318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331487116244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331487139252
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331487172199
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331487187412
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331487210744
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331487211486
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331487222672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487229437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487229548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487232594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487233389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331487240689
